Hasil Pilkada,Jumlah Paslon,Nama Daerah,Jalur Pencalonan,Nama Kandidat (1),Nama Kandidat (2),Gender (1),Gender (2),Usia (1),Usia (2),Latar Belakang Profesi (1),Latar Belakang Profesi (2),Petahana? (1),Petahana? (2),Jumlah PARPOL Pendukung,Persentase PARPOL Pendukung,Jumlah Kursi Pendukung (DPR),Jumlah Kursi Pendukung (DPRD)
Kalah,3,KABUPATEN TOBA SAMOSIR,PERORANGAN,"Drs. MONANG SITORUS, SH, MBA",CHRISSIE SAGITA HUTAHAEAN,L,L,60,50,SIPIL,SIPIL,0,0,0,0,0,0
Kalah,5,KABUPATEN TOJO UNA UNA,PARPOL,"MUHAMMAD SYARIF AL DJUFRY, SP","Dra. FATIMAH Hi. MOH. AMIN LASAWEDI, M.Si",L,P,34,54,SIPIL,SIPIL,0,0,2,0.167,0.214,0.2
Menang,5,KABUPATEN TOJO UNA UNA,PARPOL,"MOHAMMAD LAHAY, SE",ADMIN LASIMPALA,L,L,54,49,SIPIL,SIPIL,0,0,3,0.25,0.368,0.36
Kalah,5,KABUPATEN TOJO UNA UNA,PARPOL,"MAHMUD LAHAY, SE.,M.Si",LUCKY LASAHIDO,L,L,49,48,SIPIL,SIPIL,0,0,3,0.25,0.114,0.2
Kalah,5,KABUPATEN TOJO UNA UNA,PERORANGAN,"BASRIN MOHAMMAD, SE.,M.Si","BAHRUN S. MARDANI, S.Sos",L,L,59,50,SIPIL,SIPIL,0,0,0,0,0,0
Kalah,5,KABUPATEN TOJO UNA UNA,PERORANGAN,Ir. SAMSULFIQAR TANJUMBULU,"MA'RUF ANSYAR, SH",L,L,59,50,SIPIL,SIPIL,0,0,0,0,0,0
Menang,4,KABUPATEN TOLI TOLI,PARPOL,"H. MOH. SALEH BANTILAN, SH, MH",H. ABDUL RAHMAN HB,L,L,57,49,SIPIL,SIPIL,1,0,3,0.25,0.25,0.3
Kalah,4,KABUPATEN TOLI TOLI,PARPOL,"H. ISKANDAR A. NASIR, SH, MM","Ir. H. NURDIN HK, SE, MM",L,L,55,56,SIPIL,SIPIL,0,0,2,0.167,0.216,0.2
Kalah,4,KABUPATEN TOLI TOLI,PARPOL,"H. AZIZ BESTARI, ST. MM",Drs. SARPAN M. SAID,L,L,58,49,SIPIL,SIPIL,0,0,2,0.167,0.227,0.2
Kalah,4,KABUPATEN TOLI TOLI,PARPOL,AMRAN Hi. YAHYA,Drs. H. ZAINAL M. DAUD,L,L,47,47,SIPIL,SIPIL,2,0,2,0.167,0.113,0.2
Menang,2,KABUPATEN TORAJA UTARA,PARPOL,"DR. KALATIKU PAEMBONAN, M.Si.","YOSIA RINTO KADANG, ST.",L,L,62,35,SIPIL,SIPIL,0,0,2,0.167,0.325,0.343
Kalah,2,KABUPATEN TORAJA UTARA,PARPOL,"Drs. FREDERIK BATTI SORRING, S.Sos., MM.","FREDERIK BUNTANG ROMBELAYUK, S.Pd.",L,L,60,65,SIPIL,SIPIL,1,2,4,0.333,0.202,0.486
Menang,2,KABUPATEN TRENGGALEK,PARPOL,"Dr. Emil Elestianto, M.Sc",Mochamad Nur Arifin,L,L,31,25,SIPIL,SIPIL,0,0,4,0.333,0.488,0.378
Kalah,2,KABUPATEN TRENGGALEK,PARPOL,"Kholiq, SH, M.Si","Priyo Handoko, SH",L,L,55,50,SIPIL,SIPIL,2,0,1,0.083,0.084,0.2
Menang,2,KABUPATEN TUBAN,PARPOL,H. FATHUL HUDA,"Ir. H. NOOR NAHAR HUSSEIN, M.Si",L,L,61,56,SIPIL,SIPIL,0,0,8,0.667,0.768,0.82
Kalah,2,KABUPATEN TUBAN,PERORANGAN,"ZAKKY MAHBUB, S.H.I",Dra. DWI SUSIANTIN BUDIARTI,L,P,33,50,SIPIL,SIPIL,0,0,0,0,0,0
Kalah,2,KABUPATEN WAKATOBI,PARPOL,"Haliana, SE","Muhammad Syahwal, ST",L,L,41,40,SIPIL,SIPIL,0,0,3,0.25,0.388,0.44
Menang,2,KABUPATEN WAKATOBI,PARPOL,"H. Arhawi, SE","Ilmiati Daud, SE, M.Si",L,P,51,43,SIPIL,SIPIL,2,0,3,0.25,0.245,0.48
Kalah,4,KABUPATEN WAROPEN,PARPOL,"OLLEN OSTAL DAIMBOA, S.Pd, MM","Drs. ZETH TANATI, MM",L,L,43,65,SIPIL,SIPIL,0,0,3,0.25,0.364,0.3
Menang,4,KABUPATEN WAROPEN,PARPOL,"YERMIAS BISAI, SH","HENDRIK WONATOREI, S.Sos",L,L,42,64,SIPIL,SIPIL,2,0,4,0.333,0.341,0.35
Menang,4,KABUPATEN WAROPEN,PARPOL,"Dr. Drs.Yesaya Buinei, MM","Ever Mudumi, S.Sos",L,L,54,51,SIPIL,SIPIL,1,0,3,0.25,0.223,0.35
Kalah,4,KABUPATEN WAROPEN,PERORANGAN,"PENEHAS HUGO TEBAI, S.Th","YANCE WUTOY, S.Th",L,L,41,50,SIPIL,SIPIL,0,0,0,0,0,0
Kalah,2,KABUPATEN WAY KANAN,PARPOL,"H. Bustami Zainudin, S.Pd., MH",Adinata,L,L,46,40,SIPIL,SIPIL,1,0,4,0.333,0.473,0.475
Menang,2,KABUPATEN WAY KANAN,PARPOL,"H. Raden Adipati Surya, SH., MM","DR. Drs. H. Edward Antony, MM",L,L,37,55,SIPIL,SIPIL,0,0,4,0.333,0.295,0.375
Menang,2,KABUPATEN WONOGIRI,PARPOL,Joko Sutopo,"Edy Santosa, SH",L,L,41,51,SIPIL,SIPIL,0,0,2,0.167,0.259,0.311
Kalah,2,KABUPATEN WONOGIRI,PARPOL,"Drs. H. Hamid Noor Yasin, MM","Wawan Setya Nugraha, S.Sos",L,L,46,42,SIPIL,SIPIL,0,0,4,0.333,0.396,0.4
Menang,4,KABUPATEN WONOSOBO,PARPOL,"EKO PURNOMO, SE. M.M","Ir. H. AGUS SUBAGIYO, M. Si",L,L,35,52,SIPIL,SIPIL,0,0,3,0.25,0.17,0.2
Kalah,4,KABUPATEN WONOSOBO,PARPOL,"Dra. Hj. MAYA ROSIDA, M. M","EKO PRASETYO HERU WIBOWO, S. H",P,L,48,52,SIPIL,SIPIL,2,0,2,0.167,0.259,0.289
Kalah,4,KABUPATEN WONOSOBO,PARPOL,"SARIF ABDILLAH, S. Pd. I","H. USUP SUMANANG, S. H., M. M",L,L,34,56,SIPIL,TNI/POLRI,0,0,4,0.333,0.409,0.422
Kalah,4,KABUPATEN WONOSOBO,PERORANGAN,H. M. SUHARDI,"JOKO WIYONO, SE",L,L,60,50,SIPIL,SIPIL,0,0,0,0,0,0
Menang,2,DKI Jakarta,PARPOL,Fauzi Bowo,Prijanto,L,L,59,56,SIPIL,TNI/POLRI,1,0,8,0.667,0.834,0.667
Kalah,2,DKI Jakarta,PARPOL,Adang Darajatun,Dani Anwar,L,L,58,39,TNI/POLRI,SIPIL,0,0,1,0.083,0.08,0.24
Kalah,3,Jawa Barat,PARPOL,Danny Setiawan,Iwan Sulandjana,L,L,63,57,SIPIL,TNI/POLRI,1,0,2,0.167,0.329,0.394
Kalah,3,Jawa Barat,PARPOL,Agum Gumelar,Nu'man Abdul H.,L,L,63,55,TNI/POLRI,SIPIL,0,2,4,0.333,0.411,0.383
Menang,3,Jawa Barat,PARPOL,Ahmad Heryawan,Dede Yusuf,L,L,42,42,SIPIL,SIPIL,0,0,2,0.167,0.175,0.223
Kalah,5,Sumatera Barat,PERORANGAN,Ediwarman,Husni Hadi,L,L,44,44,SIPIL,TNI/POLRI,0,0,0,0,0,0
Kalah,5,Sumatera Barat,PARPOL,Marlis Rahman,Aristo Munandar,L,L,68,60,SIPIL,SIPIL,2,0,2,0.167,0.357,0.226
Menang,5,Sumatera Barat,PARPOL,Irwan Prayitno,Muslim Kasim,L,L,47,68,SIPIL,SIPIL,0,0,2,0.167,0.132,0.189
Kalah,5,Sumatera Barat,PARPOL,Endang Irzal,Asrul Syukur,L,L,53,44,SIPIL,SIPIL,0,0,2,0.167,0.311,0.321
Kalah,5,Sumatera Barat,PARPOL,Fauzi Bahar,Yohanes Dahlan,L,L,48,60,SIPIL,SIPIL,0,0,2,0.167,0.15,0.17
Kalah,5,Kalimantan Selatan,PERORANGAN,Khairil Wahyuni,Alwi Sahlan,L,L,48,60,SIPIL,SIPIL,0,0,0,0,0,0
Kalah,5,Kalimantan Selatan,PARPOL,Sjachrani Mataja,Gusti Farid Hasan,L,L,48,60,SIPIL,SIPIL,0,0,1,0.083,0.082,0.091
Menang,5,Kalimantan Selatan,PARPOL,Rudy Ariffin,Rudy Resnawan,L,L,48,60,SIPIL,SIPIL,1,0,3,0.25,0.304,0.345
Kalah,5,Kalimantan Selatan,PARPOL,Rosehan NB,Syaiful Rasyid,L,L,48,60,SIPIL,SIPIL,2,0,2,0.167,0.168,0.109
Kalah,5,Kalimantan Selatan,PARPOL,Zairullah Azhar,Habib Aboe Bakar,L,L,48,60,SIPIL,SIPIL,0,0,4,0.333,0.446,0.364
Kalah,6,DKI Jakarta,PARPOL,Fauzi Bowo,Nachrowi Ramli,L,L,51,46,SIPIL,TNI/POLRI,1,0,5,0.417,0.427,0.436
Kalah,6,DKI Jakarta,PERORANGAN,Hendardji S.,Ahmad Riza P.,L,L,60,43,TNI/POLRI,SIPIL,0,0,0,0,0,0
Menang,6,DKI Jakarta,PARPOL,Joko Widodo,Basuki Tjahaja P.,L,L,51,46,SIPIL,SIPIL,0,0,2,0.167,0.214,0.181
Kalah,6,DKI Jakarta,PARPOL,Hidayat N. Wahid,Didik J. Rachbini,L,L,52,52,SIPIL,SIPIL,0,0,1,0.083,0.102,0.191
Kalah,6,DKI Jakarta,PERORANGAN,Faisal Batubara,Biem Triani,L,L,53,48,SIPIL,SIPIL,0,0,0,0,0,0
Kalah,6,DKI Jakarta,PARPOL,Alex Noerdin,Nono Sampono,L,L,62,59,SIPIL,TNI/POLRI,0,0,2,0.167,0.257,0.149
Menang,2,DKI Jakarta,PARPOL,Joko Widodo,Basuki Tjahaja P.,L,L,51,46,SIPIL,SIPIL,0,0,2,0.167,0.214,0.181
Kalah,2,DKI Jakarta,PARPOL,Fauzi Bowo,Nachrowi Ramli,L,L,51,46,SIPIL,TNI/POLRI,1,0,8,0.667,0.786,0.777
Menang,4,Kalimantan Barat,PARPOL,Cornelis,C. Sanjaya,L,L,59,48,SIPIL,SIPIL,1,2,3,0.25,0.482,0.364
Kalah,4,Kalimantan Barat,PARPOL,Armyn Ali,Fathan A. Rasyid,L,L,56,46,TNI/POLRI,SIPIL,0,0,3,0.25,0.098,0.182
Kalah,4,Kalimantan Barat,PARPOL,Morkes Effendi,Burhanudin A. R.,L,L,61,60,SIPIL,SIPIL,0,0,3,0.25,0.373,0.364
Kalah,4,Kalimantan Barat,PARPOL,Abang Tambul H.,Barnabas Simin,L,L,64,46,SIPIL,SIPIL,0,0,2,0.167,0.046,0.036
Kalah,5,Jawa Barat,PERORANGAN,Didik Mulyana,Cecep Nana,L,L,58,57,TNI/POLRI,SIPIL,0,0,0,0,0,0
Kalah,5,Jawa Barat,PARPOL,Irianto MS.,Tatang FH,L,L,58,52,SIPIL,SIPIL,0,0,1,0.083,0.189,0.16
Kalah,5,Jawa Barat,PARPOL,Dede Yusuf,Lex Laksamana,L,L,47,61,SIPIL,SIPIL,2,0,4,0.333,0.443,0.43
Menang,5,Jawa Barat,PARPOL,Ahmad Heryawan,Deddy Mizwar,L,L,47,58,SIPIL,SIPIL,1,0,3,0.25,0.2,0.24
Kalah,5,Jawa Barat,PARPOL,Rieke Diah P.,Teten Masduki,P,L,39,50,SIPIL,SIPIL,0,0,1,0.083,0.168,0.17
Menang,4,Jawa Timur,PARPOL,Soekarwo,Saifullah Yusuf,L,L,63,49,SIPIL,SIPIL,1,2,7,0.583,0.782,0.63
Kalah,4,Jawa Timur,PERORANGAN,Eggi Sudjana,Muhammad Sihat,L,L,54,39,SIPIL,SIPIL,0,0,0,0,0,0
Kalah,4,Jawa Timur,PARPOL,Bambang Dwi H.,Said Abdullah,L,L,52,51,SIPIL,SIPIL,0,0,1,0.083,0.168,0.19
Kalah,4,Jawa Timur,PARPOL,Khofifah Indar P.,Herman S.,P,L,48,39,SIPIL,TNI/POLRI,0,0,2,0.167,0.05,0.14
Kalah,3,Jawa Tengah,PARPOL,Hadi Prabowo,Don Murdono,L,L,53,55,SIPIL,SIPIL,0,0,5,0.417,0.296,0.39
Kalah,3,Jawa Tengah,PARPOL,Bibit Waluyo,Sudijono S.,L,L,64,61,SIPIL,SIPIL,1,0,3,0.25,0.536,0.28
Menang,3,Jawa Tengah,PARPOL,Ganjar Pranowo,Heru Sudjatmoko,L,L,45,62,SIPIL,SIPIL,0,0,1,0.083,0.168,0.23
Kalah,5,Riau,PARPOL,Herman Abdullah,Agus Widayat,L,L,63,59,SIPIL,SIPIL,0,0,3,0.25,0.077,0.036
Menang,5,Riau,PARPOL,Annas Maamun,Arsyadjuliandi R.,L,L,73,53,SIPIL,SIPIL,0,0,1,0.083,0.189,0.273
Kalah,5,Riau,PARPOL,Lukman Edi,Suryadi Khusaini,L,L,43,45,SIPIL,SIPIL,0,0,2,0.167,0.218,0.182
Kalah,5,Riau,PARPOL,Achmad,Masrul Kamsy,L,L,45,45,SIPIL,SIPIL,0,0,1,0.083,0.264,0.145
Kalah,5,Riau,PARPOL,Jon Erizal,Mambang Mit,L,L,52,64,SIPIL,SIPIL,0,2,2,0.167,0.184,0.2
Kalah,2,Riau,PARPOL,Herman Abdullah,Agus Widayat,L,L,63,59,SIPIL,SIPIL,0,0,3,0.25,0.077,0.036
Menang,2,Riau,PARPOL,Annas Maamun,Arsyadjuliandi R.,L,L,73,53,SIPIL,SIPIL,0,0,1,0.083,0.189,0.273
Kalah,2,Maluku,PARPOL,Abdullah Vanath,Martin Maspaitella,L,L,42,45,SIPIL,SIPIL,0,0,1,0.083,0.264,0.162
Menang,2,Maluku,PARPOL,Said Assagaf,Zeth Sahuburua,L,L,60,71,SIPIL,SIPIL,2,0,4,0.333,0.441,0.459
Menang,3,Kalimantan Timur,PARPOL,Awang F. Ishak,Mukmin Faisyal,L,L,65,63,SIPIL,SIPIL,1,0,8,0.667,0.718,0.582
Kalah,3,Kalimantan Timur,PARPOL,Farid Wadjdy,Aji Sofyan Alex,L,L,59,69,SIPIL,SIPIL,2,0,2,0.167,0.236,0.218
Kalah,3,Kalimantan Timur,PERORANGAN,Imdaad Hamid,Ipong M.,L,L,69,46,SIPIL,SIPIL,0,0,0,0,0,0
Kalah,2,Bali,PARPOL,AAGN Puspayoga,Dewa N. Sukrawan,L,L,48,42,SIPIL,SIPIL,2,0,1,0.083,0.168,0.436
Menang,2,Bali,PARPOL,I Made Mangku P,I Ketut Sudikerta,L,L,62,46,SIPIL,SIPIL,1,0,6,0.5,0.613,0.473
Menang,4,NTB,PARPOL,M. Zainul Majdi,Muhammad Amin,L,L,41,53,SIPIL,SIPIL,1,0,7,0.583,0.868,0.618
Kalah,4,NTB,PARPOL,Suryadi J.P.,Johan Rosihan,L,L,39,41,SIPIL,SIPIL,0,0,1,0.083,0.102,0.109
Kalah,4,NTB,PARPOL,Harun Al Rasyid,Lalu Abdul Muhyi A.,L,L,71,47,SIPIL,SIPIL,0,0,1,0.083,0.03,0.055
Kalah,4,NTB,PARPOL,Zulkifli Muhadli,Muhammad Ichsan,L,L,55,71,SIPIL,SIPIL,0,0,1,0.083,0,0.091
Kalah,2,Maluku Utara,PARPOL,Ahmad Hidayat M.,Hasan Doa,L,L,44,55,SIPIL,SIPIL,0,0,3,0.25,0.288,0.311
Menang,2,Maluku Utara,PARPOL,Abdul Gani Kasuba,M. Natsir Thaib,L,L,62,58,SIPIL,SIPIL,2,0,2,0.167,0.102,0.089
Kalah,4,Sumatera Selatan,PARPOL,Eddy Santana P.,Anisa Juwita T.,L,P,56,60,SIPIL,SIPIL,0,0,1,0.083,0.168,0.147
Kalah,4,Sumatera Selatan,PARPOL,Iskandar Hasan,Hafisz Tohir,L,L,58,47,TNI/POLRI,SIPIL,0,0,2,0.167,0.184,0.147
Kalah,4,Sumatera Selatan,PARPOL,Herman Deru,Maphilinda Boer,L,P,46,49,SIPIL,SIPIL,0,0,3,0.25,0.145,0.2
Menang,4,Sumatera Selatan,PARPOL,Alex Noerdin,Ishak Mekki,L,L,63,55,SIPIL,SIPIL,1,0,3,0.25,0.454,0.427
Kalah,3,Sulawesi Selatan,PARPOL,Ilham Arief S.,Aziz Qahhar,L,L,48,49,SIPIL,SIPIL,0,0,3,0.25,0.396,0.347
Menang,3,Sulawesi Selatan,PARPOL,S. Yasin Limpo,Agus Arifin Nu'mang,L,L,58,50,SIPIL,SIPIL,1,2,5,0.417,0.507,0.467
Kalah,3,Sulawesi Selatan,PARPOL,A. Rudiyanto A.,A. Nawir P.,L,L,56,63,SIPIL,SIPIL,0,0,1,0.083,0.046,0.013
Kalah,4,Lampung,PARPOL,Berlian Tihang,Mukhlis Basri,L,L,54,50,SIPIL,SIPIL,0,0,4,0.333,0.286,0.253
Menang,4,Lampung,PARPOL,Ridho Ficardo,Bachtiar Basri,L,L,34,61,SIPIL,SIPIL,0,0,3,0.25,0.366,0.28
Kalah,4,Lampung,PARPOL,Herman HN,Zainudiin Hasan,L,L,58,49,SIPIL,SIPIL,0,0,1,0.083,0.082,0.093
Kalah,4,Lampung,PARPOL,Alzier Dianis,Lukman Hakim,L,L,57,62,SIPIL,SIPIL,0,0,2,0.167,0.22,0.213
